b,plosive,bilabial,voiced
ƀ,plosive,bilabial,voiced
c,plosive,velar,voiceless
d,plosive,alveolar,voiced
ð,fricative,dental,voiced
f,fricative,labio-dental,voiceless
g,plosive,velar,voiced
h,fricative,glottal,voiceless
j,fricative,palatal,voiced
k,plosive,velar,voiceless
l,lateral approximant,alveolar,voiceless
m,nasal,bilabial,voiced
n,nasal,denti-alviolar,voiced
p,plosive,bilabial,voiceless
q,plosive,velar,voiceless
r,trill,alveolar,voiced
s,fricative,alveolar,voiceless
t,plosive,alveolar,voiceless
u,fricative,bilabial,voiced
v,fricative,labio-dental,voiceless
w,fricative,labio-dental,voiced
x,fricative,alveolar,voiceless
z,fricative,alveolar,voiced
ȥ,fricative,alveolar,voiced
