праформа,графическое обозначение,звуковое значение,фонема,позиция (? подумать),итог (нормализованная форма),памятник,хронология,диалект,отсылка к другим обозначениям,комментарий
ɵ,th,,,в начале слова,d,tatian.txt,IX в.,восточнофранкский,,
ɵ,dh,,,любая,d,isidor.txt,конец VIII - нач. IX в.,рейнскофранкский,,
ɵ,ð,,,любая,d,hildebrandslied.txt,нач. IX в.,,,смешение черт верхненемецкого и нижненемецкого языков
p,pf,pf,,в начале слова или после согл.,pf,,,,,
p,ph,f?,,в начале слова или после согл.,pf,,,,,
p,pph,pf,,в начале слова или после согл.,pf,,,,,
p,ff,ff,,после гл.,ff,,,,,
p,f,ff,,после гл.,ff,,,,,
p,,f,,после долгих гл. и на конце слова,f,,,,,
t,z,ts,,в начале слова или после согл.,z,,,,,
t,zz,ts,,в начале слова или после согл.,z,,,,,
t,c (tz) ?,ts,,в начале слова или после согл.,z,,,,,
t,zz,ʒʒ,,после гл.,ȥȥ,,,,,
t,z,ʒʒ,,после гл.,ȥȥ,,,,,
t,zs (s),ʒʒ,,после гл.,ȥȥ,,,,,
t,,ʒ,,после долгих гл. и на конце слова,ȥ,,,,,
k,kch,kχ,,в начале слова или после согл.,k,,,,,
k,c?,kχ,,в начале слова или после согл.,k,,,,,
k,k,kχ,,в начале слова или после согл.,k,,,,,
k,ch,kχ,,в начале слова или после согл.,k,,,,,
k,kh,kχ,,в начале слова или после согл.,k,,,,,
k,hh,hh,,после гл.,hh,,,,,
k,h,hh,,после гл.,hh,,,,,
k,ch,hh,,после гл.,hh,,,,,
k,,h,,после долгих гл. и на конце слова,h,,,,,
,sc,sk,,в начале слова,sk,,,,,
,sch,sk,,в начале слова,sk,,,,,
,hl ,l,,в начале слова,l,,,,,
,hn,n,,в начале слова,n,,,,,
,hr,r,,в начале слова,r,,,,,
,oo,ō,,любая,ô ,isidor.txt,,,,
,ó,ō,,любая,ô ,,,,,
,ô ,ō,,любая,ô ,notker.txt,,,,
,ó,o,,любая,o,notker.txt,,,,
,o,o,,любая,o,,,,,
,o,ō,,,ô ,,,,,
,ee,ē,,любая,ê,isidor.txt,,,,
,é,ē,,любая,ê,,,,,
,é,e,,любая,e,notker.txt,,,,
,ê,ē,,любая,ê,notker.txt,,,,
,æ,ē,,любая,ê,isidor.txt,,,,
,ae,e,,перед сочетанием r+согл.,e,isidor.txt,,,,
,e,e,,любая,e,,,,,
,e,ē,,,ê,,,,,
