head words,entry,sources,all lexemes,linked words,linked entries
"aba, abo","<heading><strong>aba</strong></heading>, <heading><strong>abo</strong></heading>, <lang>свн.</lang> <lex>abe</lex> (нар.) <em>вниз, прочь, далеко</em>; <lex>aba</lex>, <lex>abe</lex>, <lex>ab</lex> (предл. с дат.) <em>с, от</em>, <lang>свн.</lang> <lex>abe</lex>, <lex>ab</lex>; <lang>нн.</lang> <lex>ab</lex>; <lang>дс.</lang> <lang>ди.</lang> <lang>го.</lang> <lex>af</lex>, <lang>да.</lang> <lang>а.</lang> <lex>of</lex>.",,"aba, abe, of, af, ab",,
"abahôn","<heading><strong>abahôn</strong></heading> (слгл. 2) <em>неправильно воспринять; ненавидеть, чувствовать отвращение</em>.",,,,
"abgot","<heading><strong>abgot</strong></heading> <lang>двн.</lang> <lang>свн.</lang> <gender>срр</gender> <em>идол</em>; <lang>нн.</lang> <lex>Abgott</lex>; ср. <lang>го.</lang> <lex>afguþs</lex> (прил.) <em>безбожный</em>.",,"afguþs, Abgott",,
"aboh, abuh","<heading><strong>aboh</strong></heading>, <heading><strong>abuh</strong></heading> (прил.) <em>неправильный, искаженный; плохой, злой</em>; субст. <gender>срр</gender> <em>зло, злоба, низость</em>; <lang>дс.</lang> <lex>abuh</lex>.",,"abuh",,
"abtun","<heading><strong>abtun</strong></heading> <source>— Хрон.—</source> <em>разрушать</em>.","Хрон.",,,
"adal","<heading><strong>adal</strong></heading> <gender>мр</gender> (a) <em>дворянство</em>, <lang>свн.</lang> <lex>adel</lex> <gender>мр</gender> <gender>срр</gender> <em>благородный род, благородное сословие</em>, перен. <em>совершенство</em>; <lang>свн.</lang> <lex>adelfrî</lex> <em>принадлежащий к дворянскому сословию</em>; <lang>нн.</lang> <lex>Adel</lex>; <lang>дс.</lang> <lex>aðali</lex> <gender>срр</gender> <em>благородный род</em>, <lang>да.</lang> <lex>æðelu</lex> <gender>жр</gender> <em>благородное происхождение</em>, <lang>ди.</lang> <lex>aðal</lex> <gender>мр</gender> <em>род</em>, <lex>aðalordfrumo</lex> <lang>дс.</lang> <gender>мр</gender> (n) <em>всевышний</em>; <lex>aðali</lex> <gender>срр</gender> (ja) <em>благородный род</em>; <lex>ord</lex> <gender>мр</gender> (a) <em>острие, кончик</em>; <lex>fruma</lex> (прил.) <em>первый, главный</em>.",,"æðelu, adelfrî, fruma, Adel, ord, aðali, aðalordfrumo, aðal, adel",,
"âdeilo","<heading><strong>âdeilo</strong></heading> <gender>мр</gender> (n) (или ар. от прил. <lex>âdeili</lex>?) <em>несведущий, непричастный</em>.",,"âdeili",,
"âderlâȥ, âderlâȥe","<heading variants="âderlâȥ, âderlâȥe"><strong>âderlâȥ(e)</strong></heading> <lang>свн.</lang> <gender>мр</gender> <gender>жр</gender> <em>кровопускание</em>; <lang>нн.</lang> <lex>Aderlaß</lex>.",,"Aderlaß",,
"avar, avur, abur, aber, ava, abo","<heading><strong>avar</strong></heading>, <heading><strong>avur</strong></heading>, <heading><strong>abur</strong></heading>, <heading><strong>aber</strong></heading>, сокр. <heading><strong>ava</strong></heading>, <heading><strong>abo</strong></heading>, <lang>свн.</lang> <lex>aber</lex>, <lex>aver</lex>, <lex>avor</lex>, сокр. <lex>abe</lex>, <lex>ab</lex>, <lex>ave</lex> (нар. сз.) <em>опять, вновь, еще раз; напротив, но, итак, однако</em>; <lang>нн.</lang> <lex>aber</lex>; ср. <lang>го.</lang> <lex>afar</lex> (предл.) <em>по, в, за, (нар.) после</em>.",,"abe, avor, aber, ave, afar, ab, aver",,
"after","<heading><strong>after</strong></heading> <lang>двн.</lang> <lang>свн.</lang> (нар.) <em>позади, сзади, назад, впоследствии, после</em>; (предл. с дат., в <lang>свн.</lang> также с род.) <em>по, в, на, к, за, после, согласно, вдоль</em>; <lex>after</lex> <lex>thiu</lex> <em>после (этого)</em>; <lang>дс.</lang> <lex>alter</lex>, <lex>aftar</lex>, <lang>да.</lang> <lex>æfter</lex>, <lang>го.</lang> <lex>aftra</lex>.",,"after, alter, aftar, aftra, æfter, thiu",,
